Date;Moving average
5/19/2024;22
6/11/2023;19
5/01/2022;20
4/11/2021;21
8/2/2020;24
4/12/2020;21
3/25/2019;17
12/04/2017;18
4/11/2017;19
10/04/2015;18
7/20/2014;19
2/26/2014;18
11/15/2013;20
10/13/2013;19
5/31/2013;20
2/06/2013;22
1/13/2013;23
10/31/2012;19
10/19/2011;17
10/04/2011;15
9/23/2011;18
8/21/2011;21
2/28/2011;23
10/21/2010;23
10/01/2010;21
9/06/2010;23
9/01/2010;23
4/05/2010;23
4/05/2010;22
3/21/2010;24
2/12/2010;22
2/05/2010;21
1/10/2010;20
12/20/2009;21
8/31/2009;22
6/12/2009;23
12/21/2008;25
10/15/2008;24
10/13/2008;24
7/09/2007;24
1/09/2007;28
10/08/2006;29
9/15/2006;30
2/05/2006;31
1/20/2006;33
1/06/2006;32
12/02/2005;32
9/11/2005;31
9/09/2005;30
6/19/2005;35
10/15/2004;39
7/15/2004;41
3/21/2004;38
10/26/2003;36
7/27/2003;43
10/15/2002;46
9/04/2002;46
9/02/2002;40
7/13/2002;40
6/17/2002;43
1/24/2002;46
12/07/2001;49
10/25/2001;54
10/06/2001;49
1/17/2001;44
10/31/2000;38
10/15/2000;42
7/09/2000;39
4/02/2000;38
2/14/2000;34
