Year;GDP
2000;10250952000000
2001;10581929000000
2002;10929108000000
2003;11456450000000
2004;12217196000000
2005;13039197000000
2006;13815583000000
2007;14474228000000
2008;14769862000000
2009;14478067000000
2010;15048971000000
2011;15599732000000
2012;16253970000000
2013;16880683000000
2014;17608138000000
2015;18295019000000
2016;18804913000000
2017;19612102000000
2018;20656516000000
2019;21539982000000
2020;21354105000000
2021;23681171000000
2022;26006893000000
2023;27720709000000
